"","...1","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under"
"531",NA,"63102","2019","November",NA,NA,NA,49
"532",NA,"63140","2019","November",NA,NA,NA,26
"533",NA,"63155","2019","November",NA,NA,NA,0
"534",NA,"63330","2019","November",NA,NA,NA,0
"535",NA,"63333","2019","November",NA,NA,NA,25
"536",NA,"63344","2019","November",NA,NA,NA,145
"537",NA,"63349","2019","November",NA,NA,NA,73
"538",NA,"63350","2019","November",NA,NA,NA,67
"539",NA,"63359","2019","November",NA,NA,NA,78
"540",NA,"63363","2019","November",NA,NA,NA,139
"541",NA,"63369","2019","November",NA,NA,NA,317
"542",NA,"63370","2019","November",NA,NA,NA,NA
"543",NA,"63373","2019","November",NA,NA,NA,47
"544",NA,"63386","2019","November",NA,NA,NA,35
"545",NA,"63387","2019","November",NA,NA,NA,22
"546",NA,"63388","2019","November",NA,NA,NA,0
"547",NA,"63430","2019","November",NA,NA,NA,73
"548",NA,"63431","2019","November",NA,NA,NA,0
"549",NA,"63432","2019","November",NA,NA,NA,76
"550",NA,"63433","2019","November",NA,NA,NA,0
"551",NA,"63434","2019","November",NA,NA,NA,24
"552",NA,"63437","2019","November",NA,NA,NA,138
"553",NA,"63438","2019","November",NA,NA,NA,0
"554",NA,"63439","2019","November",NA,NA,NA,7
"555",NA,"63440","2019","November",NA,NA,NA,77
"556",NA,"63443","2019","November",NA,NA,NA,5
"557",NA,"63446","2019","November",NA,NA,NA,11
"558",NA,"63447","2019","November",NA,NA,NA,69
"559",NA,"63450","2019","November",NA,NA,NA,0
"560",NA,"63451","2019","November",NA,NA,NA,25
"561",NA,"63453","2019","November",NA,NA,NA,39
"562",NA,"63454","2019","November",NA,NA,NA,87
"563",NA,"63457","2019","November",NA,NA,NA,34
"564",NA,"63458","2019","November",NA,NA,NA,0
"565",NA,"63460","2019","November",NA,NA,NA,7
"566",NA,"63464","2019","November",NA,NA,NA,NA
"567",NA,"63465","2019","November",NA,NA,NA,38
"568",NA,"63467","2019","November",NA,NA,NA,0
"569",NA,"63471","2019","November",NA,NA,NA,57
"570",NA,"63473","2019","November",NA,NA,NA,41
"571",NA,"63474","2019","November",NA,NA,NA,13
